     0.497 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x30, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.499 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x31, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x31, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x32, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x32, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x33, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x33, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x34, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x34, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x35, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x35, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x36, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x36, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.522 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x37, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.524 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x37, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.526 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x38, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.528 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x38, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.530 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x39, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x39, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3a, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3a, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3b, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3b, act: 0x7fb8afdffd10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3c, oact: 0x7fb8afdffdb0, sigsetsize: 8           ) = 0
