         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.771 ( 0.001 ms): sleep/7 rt_sigaction(sig: ABRT, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.775 ( 0.002 ms): sleep/7 rt_sigaction(sig: BUS, oact: 0x7f44abcdbdb0, sigsetsize: 8            ) = 0
     0.779 ( 0.002 ms): sleep/7 rt_sigaction(sig: BUS, act: 0x7f44abcdbd10, sigsetsize: 8             ) = 0
     0.783 ( 0.002 ms): sleep/7 rt_sigaction(sig: FPE, oact: 0x7f44abcdbdb0, sigsetsize: 8            ) = 0
     0.787 ( 0.001 ms): sleep/7 rt_sigaction(sig: FPE, act: 0x7f44abcdbd10, sigsetsize: 8             ) = 0
     0.791 ( 0.002 ms): sleep/7 rt_sigaction(sig: USR1, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.794 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR1, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.798 ( 0.002 ms): sleep/7 rt_sigaction(sig: SEGV, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.802 ( 0.002 ms): sleep/7 rt_sigaction(sig: SEGV, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.807 ( 0.002 ms): sleep/7 rt_sigaction(sig: USR2, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.811 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR2, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.815 ( 0.001 ms): sleep/7 rt_sigaction(sig: PIPE, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.818 ( 0.002 ms): sleep/7 rt_sigaction(sig: PIPE, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.823 ( 0.002 ms): sleep/7 rt_sigaction(sig: ALRM, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.828 ( 0.002 ms): sleep/7 rt_sigaction(sig: ALRM, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.832 ( 0.001 ms): sleep/7 rt_sigaction(sig: TERM, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.836 ( 0.001 ms): sleep/7 rt_sigaction(sig: TERM, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.840 ( 0.002 ms): sleep/7 rt_sigaction(sig: STKFLT, oact: 0x7f44abcdbdb0, sigsetsize: 8         ) = 0
     0.843 ( 0.002 ms): sleep/7 rt_sigaction(sig: STKFLT, act: 0x7f44abcdbd10, sigsetsize: 8          ) = 0
     0.847 ( 0.002 ms): sleep/7 rt_sigaction(sig: CHLD, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.852 ( 0.002 ms): sleep/7 rt_sigaction(sig: CHLD, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.856 ( 0.009 ms): sleep/7 rt_sigaction(sig: CONT, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.868 ( 0.002 ms): sleep/7 rt_sigaction(sig: CONT, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.872 ( 0.002 ms): sleep/7 rt_sigaction(sig: TSTP, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.876 ( 0.002 ms): sleep/7 rt_sigaction(sig: TSTP, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.880 ( 0.002 ms): sleep/7 rt_sigaction(sig: TTIN, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.884 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTIN, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.888 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTOU, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.892 ( 0.002 ms): sleep/7 rt_sigaction(sig: TTOU, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.896 ( 0.002 ms): sleep/7 rt_sigaction(sig: URG, oact: 0x7f44abcdbdb0, sigsetsize: 8            ) = 0
     0.900 ( 0.002 ms): sleep/7 rt_sigaction(sig: URG, act: 0x7f44abcdbd10, sigsetsize: 8             ) = 0
     0.904 ( 0.002 ms): sleep/7 rt_sigaction(sig: XCPU, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.909 ( 0.001 ms): sleep/7 rt_sigaction(sig: XCPU, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.912 ( 0.001 ms): sleep/7 rt_sigaction(sig: XFSZ, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.917 ( 0.002 ms): sleep/7 rt_sigaction(sig: XFSZ, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.921 ( 0.002 ms): sleep/7 rt_sigaction(sig: VTALRM, oact: 0x7f44abcdbdb0, sigsetsize: 8         ) = 0
     0.925 ( 0.001 ms): sleep/7 rt_sigaction(sig: VTALRM, act: 0x7f44abcdbd10, sigsetsize: 8          ) = 0
     0.928 ( 0.001 ms): sleep/7 rt_sigaction(sig: PROF, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.932 ( 0.001 ms): sleep/7 rt_sigaction(sig: PROF, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.936 ( 0.001 ms): sleep/7 rt_sigaction(sig: WINCH, oact: 0x7f44abcdbdb0, sigsetsize: 8          ) = 0
     0.940 ( 0.002 ms): sleep/7 rt_sigaction(sig: WINCH, act: 0x7f44abcdbd10, sigsetsize: 8           ) = 0
     0.944 ( 0.002 ms): sleep/7 rt_sigaction(sig: IO, oact: 0x7f44abcdbdb0, sigsetsize: 8             ) = 0
     0.948 ( 0.002 ms): sleep/7 rt_sigaction(sig: IO, act: 0x7f44abcdbd10, sigsetsize: 8              ) = 0
     0.952 ( 0.002 ms): sleep/7 rt_sigaction(sig: PWR, oact: 0x7f44abcdbdb0, sigsetsize: 8            ) = 0
     0.955 ( 0.001 ms): sleep/7 rt_sigaction(sig: PWR, act: 0x7f44abcdbd10, sigsetsize: 8             ) = 0
     0.959 ( 0.001 ms): sleep/7 rt_sigaction(sig: SYS, oact: 0x7f44abcdbdb0, sigsetsize: 8            ) = 0
     0.963 ( 0.002 ms): sleep/7 rt_sigaction(sig: SYS, act: 0x7f44abcdbd10, sigsetsize: 8             ) = 0
     0.968 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x20, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.972 ( 0.010 ms): sleep/7 rt_sigaction(sig: 0x21, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.984 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x22, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.989 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x22, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     0.993 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x23, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     0.997 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x23, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.001 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x24, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.005 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x24, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.008 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x25, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.012 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x25, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.016 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x26, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.020 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x26, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.024 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x27, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.028 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x27, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.031 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x28, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.035 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x28, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.040 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x29, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.044 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x29, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.047 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2a, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.051 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2a, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
