         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.021 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x5647aee71000
     0.470 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7fc2016c3d10, sigsetsize: 8          ) = 0
     0.472 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.474 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.475 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7fc2016c3db0, sigsetsize: 8          ) = 0
     0.477 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7fc2016c3d10, sigsetsize: 8           ) = 0
     0.478 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, oact: 0x7fc2016c3db0, sigsetsize: 8             ) = 0
     0.480 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7fc2016c3d10, sigsetsize: 8              ) = 0
     0.482 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7fc2016c3db0, sigsetsize: 8            ) = 0
     0.483 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7fc2016c3d10, sigsetsize: 8             ) = 0
     0.485 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7fc2016c3db0, sigsetsize: 8            ) = 0
     0.486 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7fc2016c3d10, sigsetsize: 8             ) = 0
     0.488 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.490 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.491 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.493 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.494 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.496 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.498 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.499 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.502 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.504 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.506 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.510 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.512 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.518 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.520 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.522 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.524 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.529 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.530 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.543 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.545 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.547 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.549 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.551 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.553 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.565 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.567 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.569 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.571 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.573 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.575 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.577 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.579 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.581 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.583 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.585 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.587 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.589 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.591 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.593 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.595 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.597 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.599 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.601 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7fc2016c3db0, sigsetsize: 8           ) = 0
     0.603 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7fc2016c3d10, sigsetsize: 8            ) = 0
     0.605 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7fff1ab0e678, sigsetsize: 8      ) = 0
     0.610 ([33m 0.088 ms[m): sleep/8 execve(filename: 0xaec3aa36, argv: 0x7fff1ab0e920                     ) = 0
     0.712 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x5575759f5000
     0.725 ( 0.004 ms): sleep/8 access(filename: 0xe118e4e7                                           ) = -1 ENOENT No such file or directory
     0.731 ( 0.003 ms): sleep/8 access(filename: 0xe1190c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.737 ( 0.004 ms): sleep/8 open(filename: 0xe118e988, flags: CLOEXEC                             ) = 3
     0.742 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffe1c1095e0                                  ) = 0
     0.745 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f28e1390000
     0.749 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.753 ( 0.002 ms): sleep/8 access(filename: 0xe118e4e7                                           ) = -1 ENOENT No such file or directory
     0.757 ( 0.007 ms): sleep/8 open(filename: 0xe1396d68, flags: CLOEXEC                             ) = 3
