         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x55ccf6aff000
     0.423 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTIN, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.424 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTOU, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.426 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: TTOU, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.427 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: URG, oact: 0x7f4aa1d0fdb0, sigsetsize: 8            ) = 0
     0.429 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: URG, act: 0x7f4aa1d0fd10, sigsetsize: 8             ) = 0
     0.431 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XCPU, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.432 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XCPU, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.434 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XFSZ, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.435 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XFSZ, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.437 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: VTALRM, oact: 0x7f4aa1d0fdb0, sigsetsize: 8         ) = 0
     0.439 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: VTALRM, act: 0x7f4aa1d0fd10, sigsetsize: 8          ) = 0
     0.440 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PROF, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.442 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PROF, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.443 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: WINCH, oact: 0x7f4aa1d0fdb0, sigsetsize: 8          ) = 0
     0.445 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: WINCH, act: 0x7f4aa1d0fd10, sigsetsize: 8           ) = 0
     0.447 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: IO, oact: 0x7f4aa1d0fdb0, sigsetsize: 8             ) = 0
     0.448 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: IO, act: 0x7f4aa1d0fd10, sigsetsize: 8              ) = 0
     0.450 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PWR, oact: 0x7f4aa1d0fdb0, sigsetsize: 8            ) = 0
     0.451 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PWR, act: 0x7f4aa1d0fd10, sigsetsize: 8             ) = 0
     0.453 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SYS, oact: 0x7f4aa1d0fdb0, sigsetsize: 8            ) = 0
     0.455 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SYS, act: 0x7f4aa1d0fd10, sigsetsize: 8             ) = 0
     0.456 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x20, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
