         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.417 ( 0.001 ms): sleep/8 rt_sigaction(sig: CHLD, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.419 ( 0.001 ms): sleep/8 rt_sigaction(sig: CONT, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.421 ( 0.001 ms): sleep/8 rt_sigaction(sig: CONT, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.422 ( 0.001 ms): sleep/8 rt_sigaction(sig: TSTP, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.424 ( 0.001 ms): sleep/8 rt_sigaction(sig: TSTP, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.425 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTIN, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.427 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTIN, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.429 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTOU, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.430 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTOU, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.432 ( 0.001 ms): sleep/8 rt_sigaction(sig: URG, oact: 0x7f9c4f5a0db0, sigsetsize: 8            ) = 0
     0.433 ( 0.001 ms): sleep/8 rt_sigaction(sig: URG, act: 0x7f9c4f5a0d10, sigsetsize: 8             ) = 0
     0.435 ( 0.001 ms): sleep/8 rt_sigaction(sig: XCPU, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.437 ( 0.001 ms): sleep/8 rt_sigaction(sig: XCPU, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.438 ( 0.001 ms): sleep/8 rt_sigaction(sig: XFSZ, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.440 ( 0.001 ms): sleep/8 rt_sigaction(sig: XFSZ, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.441 ( 0.001 ms): sleep/8 rt_sigaction(sig: VTALRM, oact: 0x7f9c4f5a0db0, sigsetsize: 8         ) = 0
     0.443 ( 0.001 ms): sleep/8 rt_sigaction(sig: VTALRM, act: 0x7f9c4f5a0d10, sigsetsize: 8          ) = 0
     0.445 ( 0.001 ms): sleep/8 rt_sigaction(sig: PROF, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.446 ( 0.001 ms): sleep/8 rt_sigaction(sig: PROF, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.448 ( 0.001 ms): sleep/8 rt_sigaction(sig: WINCH, oact: 0x7f9c4f5a0db0, sigsetsize: 8          ) = 0
     0.449 ( 0.001 ms): sleep/8 rt_sigaction(sig: WINCH, act: 0x7f9c4f5a0d10, sigsetsize: 8           ) = 0
     0.451 ( 0.001 ms): sleep/8 rt_sigaction(sig: IO, oact: 0x7f9c4f5a0db0, sigsetsize: 8             ) = 0
     0.453 ( 0.001 ms): sleep/8 rt_sigaction(sig: IO, act: 0x7f9c4f5a0d10, sigsetsize: 8              ) = 0
     0.454 ( 0.001 ms): sleep/8 rt_sigaction(sig: PWR, oact: 0x7f9c4f5a0db0, sigsetsize: 8            ) = 0
     0.456 ( 0.001 ms): sleep/8 rt_sigaction(sig: PWR, act: 0x7f9c4f5a0d10, sigsetsize: 8             ) = 0
     0.457 ( 0.001 ms): sleep/8 rt_sigaction(sig: SYS, oact: 0x7f9c4f5a0db0, sigsetsize: 8            ) = 0
     0.459 ( 0.001 ms): sleep/8 rt_sigaction(sig: SYS, act: 0x7f9c4f5a0d10, sigsetsize: 8             ) = 0
     0.461 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x20, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.462 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x21, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.464 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x22, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.466 ( 0.005 ms): sleep/8 rt_sigaction(sig: 0x22, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.472 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x23, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.473 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x23, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.475 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x24, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.477 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x24, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.479 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x25, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.480 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x25, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.482 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x26, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.484 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x26, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.486 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x27, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.487 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x27, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.489 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x28, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.491 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x28, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.493 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x29, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.494 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x29, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.496 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2a, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.498 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2a, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.500 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2b, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.501 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2b, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2c, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.505 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2c, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.507 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2d, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.509 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2d, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.511 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2e, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.513 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2e, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.515 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2f, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.517 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2f, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x30, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x30, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.523 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x31, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.524 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x31, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.526 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x32, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.528 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x32, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.530 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x33, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x33, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.533 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x34, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.535 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x34, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.537 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x35, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.539 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x35, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.541 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x36, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.543 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x36, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.545 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x37, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.547 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x37, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.548 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x38, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.550 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x38, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.553 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x39, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
     0.554 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x39, act: 0x7f9c4f5a0d10, sigsetsize: 8            ) = 0
     0.556 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3a, oact: 0x7f9c4f5a0db0, sigsetsize: 8           ) = 0
