         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.429 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTOU, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.431 ( 0.001 ms): sleep/8 rt_sigaction(sig: TTOU, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.432 ( 0.001 ms): sleep/8 rt_sigaction(sig: URG, oact: 0x7f8e9d284db0, sigsetsize: 8            ) = 0
     0.434 ( 0.001 ms): sleep/8 rt_sigaction(sig: URG, act: 0x7f8e9d284d10, sigsetsize: 8             ) = 0
     0.435 ( 0.001 ms): sleep/8 rt_sigaction(sig: XCPU, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.437 ( 0.001 ms): sleep/8 rt_sigaction(sig: XCPU, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.439 ( 0.001 ms): sleep/8 rt_sigaction(sig: XFSZ, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.440 ( 0.001 ms): sleep/8 rt_sigaction(sig: XFSZ, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.442 ( 0.001 ms): sleep/8 rt_sigaction(sig: VTALRM, oact: 0x7f8e9d284db0, sigsetsize: 8         ) = 0
     0.443 ( 0.001 ms): sleep/8 rt_sigaction(sig: VTALRM, act: 0x7f8e9d284d10, sigsetsize: 8          ) = 0
     0.445 ( 0.001 ms): sleep/8 rt_sigaction(sig: PROF, oact: 0x7f8e9d284db0, sigsetsize: 8           ) = 0
     0.447 ( 0.001 ms): sleep/8 rt_sigaction(sig: PROF, act: 0x7f8e9d284d10, sigsetsize: 8            ) = 0
     0.448 ( 0.001 ms): sleep/8 rt_sigaction(sig: WINCH, oact: 0x7f8e9d284db0, sigsetsize: 8          ) = 0
     0.450 ( 0.001 ms): sleep/8 rt_sigaction(sig: WINCH, act: 0x7f8e9d284d10, sigsetsize: 8           ) = 0
     0.451 ( 0.001 ms): sleep/8 rt_sigaction(sig: IO, oact: 0x7f8e9d284db0, sigsetsize: 8             ) = 0
     0.453 ( 0.001 ms): sleep/8 rt_sigaction(sig: IO, act: 0x7f8e9d284d10, sigsetsize: 8              ) = 0
