         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.758 ( 0.001 ms): sleep/7 rt_sigaction(sig: QUIT, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.760 ( 0.001 ms): sleep/7 rt_sigaction(sig: QUIT, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.762 ( 0.001 ms): sleep/7 rt_sigaction(sig: ILL, oact: 0x7f0e90534db0, sigsetsize: 8            ) = 0
     0.764 ( 0.001 ms): sleep/7 rt_sigaction(sig: ILL, act: 0x7f0e90534d10, sigsetsize: 8             ) = 0
     0.767 ( 0.001 ms): sleep/7 rt_sigaction(sig: TRAP, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.768 ( 0.001 ms): sleep/7 rt_sigaction(sig: TRAP, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.770 ( 0.001 ms): sleep/7 rt_sigaction(sig: ABRT, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.772 ( 0.001 ms): sleep/7 rt_sigaction(sig: ABRT, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.773 ( 0.001 ms): sleep/7 rt_sigaction(sig: BUS, oact: 0x7f0e90534db0, sigsetsize: 8            ) = 0
     0.775 ( 0.001 ms): sleep/7 rt_sigaction(sig: BUS, act: 0x7f0e90534d10, sigsetsize: 8             ) = 0
     0.777 ( 0.001 ms): sleep/7 rt_sigaction(sig: FPE, oact: 0x7f0e90534db0, sigsetsize: 8            ) = 0
     0.779 ( 0.001 ms): sleep/7 rt_sigaction(sig: FPE, act: 0x7f0e90534d10, sigsetsize: 8             ) = 0
     0.781 ( 0.002 ms): sleep/7 rt_sigaction(sig: USR1, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.783 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR1, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.786 ( 0.001 ms): sleep/7 rt_sigaction(sig: SEGV, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.788 ( 0.001 ms): sleep/7 rt_sigaction(sig: SEGV, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.790 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR2, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.792 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR2, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.794 ( 0.001 ms): sleep/7 rt_sigaction(sig: PIPE, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.796 ( 0.001 ms): sleep/7 rt_sigaction(sig: PIPE, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.797 ([33m 0.014 ms[m): sleep/7 rt_sigaction(sig: ALRM, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.825 ( 0.001 ms): sleep/7 rt_sigaction(sig: ALRM, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.828 ( 0.001 ms): sleep/7 rt_sigaction(sig: TERM, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.829 ( 0.001 ms): sleep/7 rt_sigaction(sig: TERM, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.831 ( 0.001 ms): sleep/7 rt_sigaction(sig: STKFLT, oact: 0x7f0e90534db0, sigsetsize: 8         ) = 0
     0.833 ( 0.001 ms): sleep/7 rt_sigaction(sig: STKFLT, act: 0x7f0e90534d10, sigsetsize: 8          ) = 0
     0.835 ( 0.001 ms): sleep/7 rt_sigaction(sig: CHLD, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.837 ( 0.001 ms): sleep/7 rt_sigaction(sig: CHLD, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.839 ( 0.001 ms): sleep/7 rt_sigaction(sig: CONT, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.840 ( 0.001 ms): sleep/7 rt_sigaction(sig: CONT, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.842 ( 0.001 ms): sleep/7 rt_sigaction(sig: TSTP, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.843 ( 0.001 ms): sleep/7 rt_sigaction(sig: TSTP, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.845 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTIN, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.847 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTIN, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.848 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTOU, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.850 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTOU, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.851 ( 0.001 ms): sleep/7 rt_sigaction(sig: URG, oact: 0x7f0e90534db0, sigsetsize: 8            ) = 0
     0.853 ( 0.001 ms): sleep/7 rt_sigaction(sig: URG, act: 0x7f0e90534d10, sigsetsize: 8             ) = 0
     0.855 ( 0.001 ms): sleep/7 rt_sigaction(sig: XCPU, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.856 ( 0.001 ms): sleep/7 rt_sigaction(sig: XCPU, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.858 ( 0.001 ms): sleep/7 rt_sigaction(sig: XFSZ, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.859 ( 0.001 ms): sleep/7 rt_sigaction(sig: XFSZ, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.861 ( 0.001 ms): sleep/7 rt_sigaction(sig: VTALRM, oact: 0x7f0e90534db0, sigsetsize: 8         ) = 0
     0.863 ( 0.001 ms): sleep/7 rt_sigaction(sig: VTALRM, act: 0x7f0e90534d10, sigsetsize: 8          ) = 0
     0.864 ( 0.001 ms): sleep/7 rt_sigaction(sig: PROF, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.866 ( 0.001 ms): sleep/7 rt_sigaction(sig: PROF, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.867 ( 0.001 ms): sleep/7 rt_sigaction(sig: WINCH, oact: 0x7f0e90534db0, sigsetsize: 8          ) = 0
     0.869 ( 0.001 ms): sleep/7 rt_sigaction(sig: WINCH, act: 0x7f0e90534d10, sigsetsize: 8           ) = 0
     0.870 ( 0.001 ms): sleep/7 rt_sigaction(sig: IO, oact: 0x7f0e90534db0, sigsetsize: 8             ) = 0
     0.872 ( 0.001 ms): sleep/7 rt_sigaction(sig: IO, act: 0x7f0e90534d10, sigsetsize: 8              ) = 0
     0.874 ( 0.001 ms): sleep/7 rt_sigaction(sig: PWR, oact: 0x7f0e90534db0, sigsetsize: 8            ) = 0
     0.875 ( 0.001 ms): sleep/7 rt_sigaction(sig: PWR, act: 0x7f0e90534d10, sigsetsize: 8             ) = 0
     0.877 ( 0.001 ms): sleep/7 rt_sigaction(sig: SYS, oact: 0x7f0e90534db0, sigsetsize: 8            ) = 0
     0.878 ( 0.001 ms): sleep/7 rt_sigaction(sig: SYS, act: 0x7f0e90534d10, sigsetsize: 8             ) = 0
     0.880 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x20, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.882 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x21, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.883 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x22, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.885 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x22, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
     0.886 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x23, oact: 0x7f0e90534db0, sigsetsize: 8           ) = 0
     0.888 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x23, act: 0x7f0e90534d10, sigsetsize: 8            ) = 0
