         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.034 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x556c4eb3d000
     0.813 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.815 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.817 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.819 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.821 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.823 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.825 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.828 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.830 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.832 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.834 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.836 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.838 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.840 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.843 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
     0.845 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7ff4cc973d10, sigsetsize: 8            ) = 0
     0.847 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7ff4cc973db0, sigsetsize: 8           ) = 0
