     0.771 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.774 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.776 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.778 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.780 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.781 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.784 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.786 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.788 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.790 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.792 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.794 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.796 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.798 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.801 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.803 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.805 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.807 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.808 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.810 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.812 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.814 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.816 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.818 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.820 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.821 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.823 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
     0.825 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f29364f3db0, sigsetsize: 8           ) = 0
     0.827 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f29364f3d10, sigsetsize: 8            ) = 0
