     0.738 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.742 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.746 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.751 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.754 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.758 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.763 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.767 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.771 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.776 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.780 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.785 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.789 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.794 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7f13b5a2edb0, sigsetsize: 8         ) = 0
     0.798 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7f13b5a2ed10, sigsetsize: 8          ) = 0
     0.802 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.807 ( 0.003 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.812 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7f13b5a2edb0, sigsetsize: 8          ) = 0
     0.816 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7f13b5a2ed10, sigsetsize: 8           ) = 0
     0.820 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, oact: 0x7f13b5a2edb0, sigsetsize: 8             ) = 0
     0.824 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7f13b5a2ed10, sigsetsize: 8              ) = 0
     0.829 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.833 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.837 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7f13b5a2edb0, sigsetsize: 8            ) = 0
     0.841 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7f13b5a2ed10, sigsetsize: 8             ) = 0
     0.846 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.851 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.855 ( 0.004 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.861 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.866 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.870 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.875 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.879 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.883 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.888 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.892 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.896 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.900 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.904 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.909 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.913 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.918 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.923 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.927 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.931 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.936 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.940 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.944 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.949 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.953 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.957 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.962 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.966 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.970 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.975 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.979 ( 0.003 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.985 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.989 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     0.993 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     0.998 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.002 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.006 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.011 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.015 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.020 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.024 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.029 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.033 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.038 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.042 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.046 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.051 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.056 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.061 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.066 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.070 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.074 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.078 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.083 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.087 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.092 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.096 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.100 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.105 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.109 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.114 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.118 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.123 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f13b5a2edb0, sigsetsize: 8           ) = 0
     1.127 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f13b5a2ed10, sigsetsize: 8            ) = 0
     1.131 ( 0.002 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffc19f9c9a8, sigsetsize: 8      ) = 0
     1.143 ([33m 0.155 ms[m): sleep/8 execve(filename: 0x16e7fa36, argv: 0x7ffc19f9cc50                     ) = 0
     1.327 ( 0.003 ms): sleep/8 brk(                                                                  ) = 0x55656b899000
     1.353 ( 0.006 ms): sleep/8 access(filename: 0xce08a4e7                                           ) = -1 ENOENT No such file or directory
     1.366 ( 0.003 ms): sleep/8 access(filename: 0xce08cc70, mode: R                                  ) = -1 ENOENT No such file or directory
     1.374 ( 0.007 ms): sleep/8 open(filename: 0xce08a988, flags: CLOEXEC                             ) = 3
     1.383 ( 0.003 ms): sleep/8 fstat(fd: 3, statbuf: 0x7fff2ad45a30                                  ) = 0
     1.388 ( 0.006 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7ff8ce28c000
     1.396 ( 0.002 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.405 ( 0.003 ms): sleep/8 access(filename: 0xce08a4e7                                           ) = -1 ENOENT No such file or directory
     1.412 ( 0.008 ms): sleep/8 open(filename: 0xce292d68, flags: CLOEXEC                             ) = 3
     1.422 ( 0.003 ms): sleep/8 read(fd: 3, buf: 0x7fff2ad45bd8, count: 832                           ) = 832
     1.429 ( 0.003 ms): sleep/8 fstat(fd: 3, statbuf: 0x7fff2ad45a70                                  ) = 0
     1.434 ( 0.005 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7ff8ce28a000
     1.445 ( 0.005 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7ff8cdcce000
     1.452 ([33m 0.012 ms[m): sleep/8 mprotect(start: 0x7ff8cde63000, len: 2097152                          ) = 0
