     0.450 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7f3b52018d10, sigsetsize: 8              ) = 0
     0.452 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7f3b52018db0, sigsetsize: 8            ) = 0
     0.454 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7f3b52018d10, sigsetsize: 8             ) = 0
     0.455 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7f3b52018db0, sigsetsize: 8            ) = 0
     0.457 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7f3b52018d10, sigsetsize: 8             ) = 0
     0.458 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.460 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.462 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.463 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.465 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.466 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.468 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.470 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.471 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.473 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.474 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.476 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.478 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.479 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.481 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.482 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.484 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.486 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.487 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.489 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.490 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.492 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.494 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.495 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
     0.497 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7f3b52018db0, sigsetsize: 8           ) = 0
     0.498 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7f3b52018d10, sigsetsize: 8            ) = 0
