     0.397 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.399 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.401 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.403 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.405 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.407 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.408 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.410 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.412 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7f290732cdb0, sigsetsize: 8            ) = 0
     0.414 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7f290732cd10, sigsetsize: 8             ) = 0
     0.416 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.418 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.420 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.422 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.424 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7f290732cdb0, sigsetsize: 8         ) = 0
     0.426 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7f290732cd10, sigsetsize: 8          ) = 0
     0.428 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.429 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.431 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7f290732cdb0, sigsetsize: 8          ) = 0
     0.433 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7f290732cd10, sigsetsize: 8           ) = 0
     0.435 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, oact: 0x7f290732cdb0, sigsetsize: 8             ) = 0
     0.437 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7f290732cd10, sigsetsize: 8              ) = 0
     0.439 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7f290732cdb0, sigsetsize: 8            ) = 0
     0.441 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7f290732cd10, sigsetsize: 8             ) = 0
     0.443 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7f290732cdb0, sigsetsize: 8            ) = 0
     0.445 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7f290732cd10, sigsetsize: 8             ) = 0
     0.447 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.449 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.451 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.453 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.455 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.457 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.458 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.460 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.462 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.464 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.467 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.469 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.471 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.473 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.475 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.477 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.479 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.481 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.482 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.484 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.486 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.488 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.490 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.492 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.494 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.496 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.498 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.500 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.502 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.504 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.506 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.525 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.529 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.554 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.556 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.558 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.560 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.562 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.564 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.568 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.570 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f290732cdb0, sigsetsize: 8           ) = 0
     0.573 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f290732cd10, sigsetsize: 8            ) = 0
     0.575 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffc02d871f8, sigsetsize: 8      ) = 0
     0.584 ([33m 0.021 ms[m): pesquisaOverhe/8 execve(filename: 0x732cd80, argv: 0x7ffc02d874a0                      ) = -2
     0.607 ( 0.005 ms): pesquisaOverhe/8 execve(filename: 0x732cd80, argv: 0x7ffc02d874a0                      ) = -2
