         ? (     ?   ): pesquisaOverhe/9  ... [[33mcontinued[m]: execve()) = 0
     0.455 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x20, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.456 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x21, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.458 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x22, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.460 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x22, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.461 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x23, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.463 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x23, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.464 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x24, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.466 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x24, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.468 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x25, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.469 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x25, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.471 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x26, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.472 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x26, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
     0.474 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x27, oact: 0x7fe1bfb9fdb0, sigsetsize: 8           ) = 0
     0.476 ( 0.001 ms): pesquisaOverhe/10 rt_sigaction(sig: 0x27, act: 0x7fe1bfb9fd10, sigsetsize: 8            ) = 0
