         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55c540ae9000
     0.392 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.394 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.395 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.397 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.399 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7f9541ba8db0, sigsetsize: 8            ) = 0
     0.400 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7f9541ba8d10, sigsetsize: 8             ) = 0
     0.402 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.403 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.405 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.407 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.408 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7f9541ba8db0, sigsetsize: 8         ) = 0
     0.410 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7f9541ba8d10, sigsetsize: 8          ) = 0
     0.411 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.413 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.415 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7f9541ba8db0, sigsetsize: 8          ) = 0
     0.416 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7f9541ba8d10, sigsetsize: 8           ) = 0
     0.418 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, oact: 0x7f9541ba8db0, sigsetsize: 8             ) = 0
     0.420 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7f9541ba8d10, sigsetsize: 8              ) = 0
     0.421 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7f9541ba8db0, sigsetsize: 8            ) = 0
     0.423 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7f9541ba8d10, sigsetsize: 8             ) = 0
     0.424 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7f9541ba8db0, sigsetsize: 8            ) = 0
     0.426 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7f9541ba8d10, sigsetsize: 8             ) = 0
     0.428 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.430 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.432 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.434 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.436 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.438 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.440 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.442 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.444 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.445 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.447 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.449 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.450 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.452 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.453 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.455 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.457 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.458 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.460 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.461 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.463 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.465 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.466 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.468 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.469 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.471 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.472 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.474 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.476 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.477 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.479 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.481 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
