     0.412 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.414 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TERM, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.416 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, oact: 0x7f5b7d575db0, sigsetsize: 8         ) = 0
     0.418 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: STKFLT, act: 0x7f5b7d575d10, sigsetsize: 8          ) = 0
     0.420 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.422 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CHLD, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.424 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.426 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: CONT, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.428 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.430 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TSTP, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.432 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.434 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTIN, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.436 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.438 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: TTOU, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.440 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, oact: 0x7f5b7d575db0, sigsetsize: 8            ) = 0
     0.442 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: URG, act: 0x7f5b7d575d10, sigsetsize: 8             ) = 0
     0.444 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.446 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.448 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.450 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.452 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7f5b7d575db0, sigsetsize: 8         ) = 0
     0.453 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7f5b7d575d10, sigsetsize: 8          ) = 0
     0.455 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.457 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.459 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7f5b7d575db0, sigsetsize: 8          ) = 0
     0.461 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7f5b7d575d10, sigsetsize: 8           ) = 0
