     0.564 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.568 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.570 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.572 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.574 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.576 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.578 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.579 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.581 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.583 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.585 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.587 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
     0.589 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7f88a2792d10, sigsetsize: 8            ) = 0
     0.591 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7f88a2792db0, sigsetsize: 8           ) = 0
