     0.469 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7f92d218edb0, sigsetsize: 8           ) = 0
     0.471 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7f92d218ed10, sigsetsize: 8            ) = 0
     0.473 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7f92d218edb0, sigsetsize: 8           ) = 0
     0.475 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7f92d218ed10, sigsetsize: 8            ) = 0
     0.477 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7f92d218edb0, sigsetsize: 8           ) = 0
     0.479 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7f92d218ed10, sigsetsize: 8            ) = 0
     0.481 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7f92d218edb0, sigsetsize: 8           ) = 0
     0.483 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7f92d218ed10, sigsetsize: 8            ) = 0
     0.485 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7f92d218edb0, sigsetsize: 8           ) = 0
     0.487 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7f92d218ed10, sigsetsize: 8            ) = 0
     0.489 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7f92d218edb0, sigsetsize: 8           ) = 0
     0.491 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7f92d218ed10, sigsetsize: 8            ) = 0
     0.493 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7f92d218edb0, sigsetsize: 8           ) = 0
     0.495 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7f92d218ed10, sigsetsize: 8            ) = 0
     0.497 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7f92d218edb0, sigsetsize: 8           ) = 0
     0.499 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7f92d218ed10, sigsetsize: 8            ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7f92d218edb0, sigsetsize: 8           ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7f92d218ed10, sigsetsize: 8            ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7f92d218edb0, sigsetsize: 8           ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7f92d218ed10, sigsetsize: 8            ) = 0
