         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.532 ( 0.001 ms): sleep/8 rt_sigaction(sig: VTALRM, act: 0x7f1150979d10, sigsetsize: 8          ) = 0
     0.534 ( 0.001 ms): sleep/8 rt_sigaction(sig: PROF, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.536 ( 0.001 ms): sleep/8 rt_sigaction(sig: PROF, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.538 ( 0.001 ms): sleep/8 rt_sigaction(sig: WINCH, oact: 0x7f1150979db0, sigsetsize: 8          ) = 0
     0.540 ( 0.001 ms): sleep/8 rt_sigaction(sig: WINCH, act: 0x7f1150979d10, sigsetsize: 8           ) = 0
     0.542 ( 0.001 ms): sleep/8 rt_sigaction(sig: IO, oact: 0x7f1150979db0, sigsetsize: 8             ) = 0
     0.544 ( 0.001 ms): sleep/8 rt_sigaction(sig: IO, act: 0x7f1150979d10, sigsetsize: 8              ) = 0
     0.546 ( 0.001 ms): sleep/8 rt_sigaction(sig: PWR, oact: 0x7f1150979db0, sigsetsize: 8            ) = 0
     0.549 ( 0.001 ms): sleep/8 rt_sigaction(sig: PWR, act: 0x7f1150979d10, sigsetsize: 8             ) = 0
     0.551 ( 0.001 ms): sleep/8 rt_sigaction(sig: SYS, oact: 0x7f1150979db0, sigsetsize: 8            ) = 0
     0.553 ( 0.001 ms): sleep/8 rt_sigaction(sig: SYS, act: 0x7f1150979d10, sigsetsize: 8             ) = 0
     0.555 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x20, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.557 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x21, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.559 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x22, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.561 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x22, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.563 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x23, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.565 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x23, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.567 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x24, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.569 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x24, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.571 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x25, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.573 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x25, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.575 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x26, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.577 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x26, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.579 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x27, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.581 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x27, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.583 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x28, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.585 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x28, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.587 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x29, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.589 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x29, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.592 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2a, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.594 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2a, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.596 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2b, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.598 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2b, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
     0.600 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2c, oact: 0x7f1150979db0, sigsetsize: 8           ) = 0
     0.602 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x2c, act: 0x7f1150979d10, sigsetsize: 8            ) = 0
