         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.442 ( 0.001 ms): sleep/8 rt_sigaction(sig: XCPU, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.444 ( 0.001 ms): sleep/8 rt_sigaction(sig: XCPU, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.446 ( 0.001 ms): sleep/8 rt_sigaction(sig: XFSZ, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.448 ( 0.001 ms): sleep/8 rt_sigaction(sig: XFSZ, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.450 ( 0.001 ms): sleep/8 rt_sigaction(sig: VTALRM, oact: 0x7faf3ebf3db0, sigsetsize: 8         ) = 0
     0.452 ( 0.001 ms): sleep/8 rt_sigaction(sig: VTALRM, act: 0x7faf3ebf3d10, sigsetsize: 8          ) = 0
     0.454 ( 0.001 ms): sleep/8 rt_sigaction(sig: PROF, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.455 ( 0.001 ms): sleep/8 rt_sigaction(sig: PROF, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.457 ( 0.001 ms): sleep/8 rt_sigaction(sig: WINCH, oact: 0x7faf3ebf3db0, sigsetsize: 8          ) = 0
     0.459 ( 0.001 ms): sleep/8 rt_sigaction(sig: WINCH, act: 0x7faf3ebf3d10, sigsetsize: 8           ) = 0
     0.461 ( 0.001 ms): sleep/8 rt_sigaction(sig: IO, oact: 0x7faf3ebf3db0, sigsetsize: 8             ) = 0
     0.463 ( 0.001 ms): sleep/8 rt_sigaction(sig: IO, act: 0x7faf3ebf3d10, sigsetsize: 8              ) = 0
     0.465 ( 0.001 ms): sleep/8 rt_sigaction(sig: PWR, oact: 0x7faf3ebf3db0, sigsetsize: 8            ) = 0
     0.467 ( 0.001 ms): sleep/8 rt_sigaction(sig: PWR, act: 0x7faf3ebf3d10, sigsetsize: 8             ) = 0
     0.469 ( 0.001 ms): sleep/8 rt_sigaction(sig: SYS, oact: 0x7faf3ebf3db0, sigsetsize: 8            ) = 0
     0.471 ( 0.001 ms): sleep/8 rt_sigaction(sig: SYS, act: 0x7faf3ebf3d10, sigsetsize: 8             ) = 0
     0.473 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x20, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.476 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x21, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.478 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x22, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.480 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x22, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.482 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x23, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.484 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x23, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.485 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x24, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
