         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.024 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55699b5f8000
     0.490 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.492 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XCPU, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.494 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.495 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: XFSZ, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.497 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, oact: 0x7fb5299cfdb0, sigsetsize: 8         ) = 0
     0.498 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: VTALRM, act: 0x7fb5299cfd10, sigsetsize: 8          ) = 0
     0.500 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.502 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PROF, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, oact: 0x7fb5299cfdb0, sigsetsize: 8          ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: WINCH, act: 0x7fb5299cfd10, sigsetsize: 8           ) = 0
     0.506 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, oact: 0x7fb5299cfdb0, sigsetsize: 8             ) = 0
     0.508 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: IO, act: 0x7fb5299cfd10, sigsetsize: 8              ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7fb5299cfdb0, sigsetsize: 8            ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7fb5299cfd10, sigsetsize: 8             ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7fb5299cfdb0, sigsetsize: 8            ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7fb5299cfd10, sigsetsize: 8             ) = 0
     0.516 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.518 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.523 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.524 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
