     0.453 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.455 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.457 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.459 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.461 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.463 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.465 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.467 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.469 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.471 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.473 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.475 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.477 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.479 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.481 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.483 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.485 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.486 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.488 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.490 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.492 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
     0.494 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7f1fdbb20db0, sigsetsize: 8           ) = 0
     0.496 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7f1fdbb20d10, sigsetsize: 8            ) = 0
