         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.022 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55b78bf0e000
     0.612 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, oact: 0x7fc50d794db0, sigsetsize: 8            ) = 0
     0.617 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: PWR, act: 0x7fc50d794d10, sigsetsize: 8             ) = 0
     0.620 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, oact: 0x7fc50d794db0, sigsetsize: 8            ) = 0
     0.623 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: SYS, act: 0x7fc50d794d10, sigsetsize: 8             ) = 0
     0.626 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x20, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.630 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x21, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.633 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.636 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x22, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.638 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.641 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x23, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.643 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.645 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x24, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.648 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.650 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x25, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.653 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.655 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.658 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.660 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.663 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.665 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.667 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.670 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.672 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.674 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.676 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.678 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.681 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.684 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.687 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.690 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.693 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.696 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.698 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.701 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.704 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.706 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.709 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.711 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.713 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.716 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.718 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.721 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.722 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.724 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.727 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.729 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.732 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.734 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.737 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.739 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.742 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.744 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.745 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.747 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.749 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.752 ( 0.002 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
     0.755 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7fc50d794db0, sigsetsize: 8           ) = 0
     0.757 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7fc50d794d10, sigsetsize: 8            ) = 0
