         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.364 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR2, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.365 ( 0.001 ms): sleep/7 rt_sigaction(sig: PIPE, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.367 ( 0.001 ms): sleep/7 rt_sigaction(sig: PIPE, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.370 ( 0.001 ms): sleep/7 rt_sigaction(sig: ALRM, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.372 ( 0.001 ms): sleep/7 rt_sigaction(sig: ALRM, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.373 ( 0.001 ms): sleep/7 rt_sigaction(sig: TERM, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.375 ( 0.001 ms): sleep/7 rt_sigaction(sig: TERM, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.377 ( 0.001 ms): sleep/7 rt_sigaction(sig: STKFLT, oact: 0x7f109a773db0, sigsetsize: 8         ) = 0
     0.379 ( 0.001 ms): sleep/7 rt_sigaction(sig: STKFLT, act: 0x7f109a773d10, sigsetsize: 8          ) = 0
     0.381 ( 0.001 ms): sleep/7 rt_sigaction(sig: CHLD, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.383 ( 0.001 ms): sleep/7 rt_sigaction(sig: CHLD, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.385 ( 0.001 ms): sleep/7 rt_sigaction(sig: CONT, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.387 ( 0.001 ms): sleep/7 rt_sigaction(sig: CONT, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.389 ( 0.001 ms): sleep/7 rt_sigaction(sig: TSTP, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.391 ( 0.001 ms): sleep/7 rt_sigaction(sig: TSTP, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.393 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTIN, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.395 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTIN, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.397 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTOU, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.399 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTOU, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.401 ( 0.001 ms): sleep/7 rt_sigaction(sig: URG, oact: 0x7f109a773db0, sigsetsize: 8            ) = 0
     0.402 ( 0.001 ms): sleep/7 rt_sigaction(sig: URG, act: 0x7f109a773d10, sigsetsize: 8             ) = 0
     0.404 ( 0.001 ms): sleep/7 rt_sigaction(sig: XCPU, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.406 ( 0.001 ms): sleep/7 rt_sigaction(sig: XCPU, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.408 ( 0.001 ms): sleep/7 rt_sigaction(sig: XFSZ, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
