     0.515 ( 0.001 ms): sleep/11 rt_sigaction(sig: VTALRM, oact: 0x7fa74156bdb0, sigsetsize: 8         ) = 0
     0.517 ( 0.001 ms): sleep/11 rt_sigaction(sig: VTALRM, act: 0x7fa74156bd10, sigsetsize: 8          ) = 0
     0.519 ( 0.001 ms): sleep/11 rt_sigaction(sig: PROF, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): sleep/11 rt_sigaction(sig: PROF, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.523 ( 0.001 ms): sleep/11 rt_sigaction(sig: WINCH, oact: 0x7fa74156bdb0, sigsetsize: 8          ) = 0
     0.525 ( 0.001 ms): sleep/11 rt_sigaction(sig: WINCH, act: 0x7fa74156bd10, sigsetsize: 8           ) = 0
     0.527 ( 0.001 ms): sleep/11 rt_sigaction(sig: IO, oact: 0x7fa74156bdb0, sigsetsize: 8             ) = 0
     0.529 ( 0.001 ms): sleep/11 rt_sigaction(sig: IO, act: 0x7fa74156bd10, sigsetsize: 8              ) = 0
     0.530 ( 0.001 ms): sleep/11 rt_sigaction(sig: PWR, oact: 0x7fa74156bdb0, sigsetsize: 8            ) = 0
     0.533 ( 0.001 ms): sleep/11 rt_sigaction(sig: PWR, act: 0x7fa74156bd10, sigsetsize: 8             ) = 0
     0.534 ( 0.001 ms): sleep/11 rt_sigaction(sig: SYS, oact: 0x7fa74156bdb0, sigsetsize: 8            ) = 0
     0.536 ( 0.001 ms): sleep/11 rt_sigaction(sig: SYS, act: 0x7fa74156bd10, sigsetsize: 8             ) = 0
     0.538 ( 0.001 ms): sleep/11 rt_sigaction(sig: 0x20, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.540 ( 0.001 ms): sleep/11 rt_sigaction(sig: 0x21, act: 0x7fa74156bd10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): sleep/11 rt_sigaction(sig: 0x22, oact: 0x7fa74156bdb0, sigsetsize: 8           ) = 0
