         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.028 ( 0.002 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x564e22b8e000
     1.124 ( 0.004 ms): sleep/9 open(filename: 0x5c89c988, flags: CLOEXEC                             ) = 3
     1.130 ( 0.002 ms): sleep/9 fstat(fd: 3, statbuf: 0x7ffde84a5a60                                  ) = 0
     1.133 ( 0.003 ms): sleep/9 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f0c5ca9e000
     1.137 ( 0.001 ms): sleep/9 close(fd: 3                                                           ) = 0
     1.141 ( 0.002 ms): sleep/9 access(filename: 0x5c89c4e7                                           ) = -1 ENOENT No such file or directory
     1.145 ( 0.005 ms): sleep/9 open(filename: 0x5caa4d68, flags: CLOEXEC                             ) = 3
     1.151 ( 0.002 ms): sleep/9 read(fd: 3, buf: 0x7ffde84a5c08, count: 832                           ) = 832
     1.155 ( 0.001 ms): sleep/9 fstat(fd: 3, statbuf: 0x7ffde84a5aa0                                  ) = 0
     1.158 ( 0.002 ms): sleep/9 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f0c5ca9c000
     1.164 ( 0.003 ms): sleep/9 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f0c5c4e0000
     1.168 ( 0.005 ms): sleep/9 mprotect(start: 0x7f0c5c675000, len: 2097152                          ) = 0
     1.174 ( 0.005 ms): sleep/9 mmap(addr: 0x7f0c5c875000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f0c5c875000
     1.183 ( 0.003 ms): sleep/9 mmap(addr: 0x7f0c5c87b000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f0c5c87b000
     1.190 ( 0.001 ms): sleep/9 close(fd: 3                                                           ) = 0
     1.202 ( 0.002 ms): sleep/9 arch_prctl(option: 4098, arg2: 139691070968960                        ) = 0
     1.246 ( 0.005 ms): sleep/9 mprotect(start: 0x7f0c5c875000, len: 16384, prot: READ                ) = 0
     1.254 ( 0.003 ms): sleep/9 mprotect(start: 0x5628eede1000, len: 4096, prot: READ                 ) = 0
     1.259 ( 0.002 ms): sleep/9 mprotect(start: 0x7f0c5caa2000, len: 4096, prot: READ                 ) = 0
     1.263 ( 0.004 ms): sleep/9 munmap(addr: 0x7f0c5ca9e000, len: 13580                               ) = 0
     1.317 ( 0.001 ms): sleep/9 brk(                                                                  ) = 0x5628efac0000
     1.319 ( 0.002 ms): sleep/9 brk(brk: 0x5628efae1000                                               ) = 0x5628efae1000
