     0.544 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.560 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f356ce3ddb0, sigsetsize: 8           ) = 0
     0.562 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f356ce3dd10, sigsetsize: 8            ) = 0
     0.564 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffefbaba538, sigsetsize: 8      ) = 0
     0.570 ([33m 0.079 ms[m): sleep/8 execve(filename: 0x5e5aea36, argv: 0x7ffefbaba7e0                     ) = 0
     0.662 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x559965a99000
     0.675 ( 0.003 ms): sleep/8 access(filename: 0xb3f114e7                                           ) = -1 ENOENT No such file or directory
     0.680 ( 0.002 ms): sleep/8 access(filename: 0xb3f13c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.686 ( 0.004 ms): sleep/8 open(filename: 0xb3f11988, flags: CLOEXEC                             ) = 3
     0.691 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffdb686ef90                                  ) = 0
     0.693 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f21b4113000
     0.697 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.701 ( 0.002 ms): sleep/8 access(filename: 0xb3f114e7                                           ) = -1 ENOENT No such file or directory
     0.705 ( 0.004 ms): sleep/8 open(filename: 0xb4119d68, flags: CLOEXEC                             ) = 3
     0.711 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffdb686f138, count: 832                           ) = 832
     0.715 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffdb686efd0                                  ) = 0
     0.717 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f21b4111000
     0.723 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f21b3b55000
     0.727 ( 0.005 ms): sleep/8 mprotect(start: 0x7f21b3cea000, len: 2097152                          ) = 0
     0.733 ( 0.005 ms): sleep/8 mmap(addr: 0x7f21b3eea000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f21b3eea000
     0.742 ( 0.003 ms): sleep/8 mmap(addr: 0x7f21b3ef0000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f21b3ef0000
     0.742 ([33m 0.011 ms[m): sleep/8  ... [[33mcontinued[m]: close()) = 0
