         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55d52c105000
     0.442 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: CONT, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.443 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TSTP, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.445 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TSTP, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.447 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTIN, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.448 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTIN, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.450 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTOU, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.451 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTOU, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.453 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: URG, oact: 0x7f1bb02eedb0, sigsetsize: 8            ) = 0
     0.455 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: URG, act: 0x7f1bb02eed10, sigsetsize: 8             ) = 0
     0.456 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XCPU, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.458 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XCPU, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.459 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XFSZ, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.461 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XFSZ, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.463 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: VTALRM, oact: 0x7f1bb02eedb0, sigsetsize: 8         ) = 0
     0.465 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: VTALRM, act: 0x7f1bb02eed10, sigsetsize: 8          ) = 0
     0.467 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PROF, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.468 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PROF, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.470 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: WINCH, oact: 0x7f1bb02eedb0, sigsetsize: 8          ) = 0
     0.472 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: WINCH, act: 0x7f1bb02eed10, sigsetsize: 8           ) = 0
     0.473 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: IO, oact: 0x7f1bb02eedb0, sigsetsize: 8             ) = 0
     0.475 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: IO, act: 0x7f1bb02eed10, sigsetsize: 8              ) = 0
     0.476 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PWR, oact: 0x7f1bb02eedb0, sigsetsize: 8            ) = 0
     0.478 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PWR, act: 0x7f1bb02eed10, sigsetsize: 8             ) = 0
     0.480 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SYS, oact: 0x7f1bb02eedb0, sigsetsize: 8            ) = 0
     0.481 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: SYS, act: 0x7f1bb02eed10, sigsetsize: 8             ) = 0
     0.483 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x20, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.484 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x21, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.486 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x22, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.488 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x22, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.490 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x23, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.491 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x23, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.493 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x24, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.495 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x24, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.497 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x25, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.499 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x25, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x26, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.502 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x26, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.504 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x27, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x27, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x28, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x28, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.510 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x29, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
