         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55fabd628000
     2.395 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTIN, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.397 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTIN, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.399 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTOU, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.401 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: TTOU, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.403 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: URG, oact: 0x7f2f9470ddb0, sigsetsize: 8            ) = 0
     2.405 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: URG, act: 0x7f2f9470dd10, sigsetsize: 8             ) = 0
     2.407 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XCPU, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.409 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XCPU, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.411 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XFSZ, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.413 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: XFSZ, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.415 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: VTALRM, oact: 0x7f2f9470ddb0, sigsetsize: 8         ) = 0
     2.417 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: VTALRM, act: 0x7f2f9470dd10, sigsetsize: 8          ) = 0
     2.419 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PROF, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.421 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: PROF, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
