         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55ac38871000
     0.558 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x26, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.560 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.562 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x27, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.564 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x28, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.568 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.570 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x29, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.572 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.574 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2a, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.576 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.578 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2b, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.580 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.582 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2c, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.584 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.586 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.588 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.590 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.592 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.595 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.597 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.599 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.601 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.603 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.605 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.607 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.609 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.610 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.612 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.614 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.616 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.618 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.620 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.621 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.624 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.626 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.628 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.630 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.632 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.634 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
     0.636 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7f80585f4db0, sigsetsize: 8           ) = 0
     0.638 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7f80585f4d10, sigsetsize: 8            ) = 0
