     0.426 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: URG, act: 0x7ff9dca94d10, sigsetsize: 8             ) = 0
     0.428 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XCPU, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.430 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XCPU, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.431 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XFSZ, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.433 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: XFSZ, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.434 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: VTALRM, oact: 0x7ff9dca94db0, sigsetsize: 8         ) = 0
     0.436 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: VTALRM, act: 0x7ff9dca94d10, sigsetsize: 8          ) = 0
     0.438 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PROF, oact: 0x7ff9dca94db0, sigsetsize: 8           ) = 0
     0.439 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PROF, act: 0x7ff9dca94d10, sigsetsize: 8            ) = 0
     0.441 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: WINCH, oact: 0x7ff9dca94db0, sigsetsize: 8          ) = 0
     0.442 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: WINCH, act: 0x7ff9dca94d10, sigsetsize: 8           ) = 0
     0.444 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: IO, oact: 0x7ff9dca94db0, sigsetsize: 8             ) = 0
     0.446 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: IO, act: 0x7ff9dca94d10, sigsetsize: 8              ) = 0
     0.447 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PWR, oact: 0x7ff9dca94db0, sigsetsize: 8            ) = 0
     0.449 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PWR, act: 0x7ff9dca94d10, sigsetsize: 8             ) = 0
