         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x5585c0ca6000
     0.446 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: VTALRM, act: 0x7fde83092d10, sigsetsize: 8          ) = 0
     0.448 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PROF, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.450 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PROF, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.452 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: WINCH, oact: 0x7fde83092db0, sigsetsize: 8          ) = 0
     0.454 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: WINCH, act: 0x7fde83092d10, sigsetsize: 8           ) = 0
     0.456 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: IO, oact: 0x7fde83092db0, sigsetsize: 8             ) = 0
     0.458 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: IO, act: 0x7fde83092d10, sigsetsize: 8              ) = 0
     0.460 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PWR, oact: 0x7fde83092db0, sigsetsize: 8            ) = 0
     0.462 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: PWR, act: 0x7fde83092d10, sigsetsize: 8             ) = 0
     0.464 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SYS, oact: 0x7fde83092db0, sigsetsize: 8            ) = 0
     0.466 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: SYS, act: 0x7fde83092d10, sigsetsize: 8             ) = 0
     0.468 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x20, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.470 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x21, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.471 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x22, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.473 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x22, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.475 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x23, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.477 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x23, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.479 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x24, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.481 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x24, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.483 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x25, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.485 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x25, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.487 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x26, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.489 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x26, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.491 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x27, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.493 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x27, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.495 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x28, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.497 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x28, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.499 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x29, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.501 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x29, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2a, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.505 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2a, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.507 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2b, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.509 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2b, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.511 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2c, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.513 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2c, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.515 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2d, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.517 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2d, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2e, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2e, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.522 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2f, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.524 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x2f, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.527 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x30, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.528 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x30, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.530 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x31, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.532 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x31, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.534 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x32, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x32, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x33, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x33, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x34, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x34, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x35, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x35, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x36, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x36, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.554 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x37, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x37, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x38, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x38, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x39, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.565 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x39, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.567 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3a, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.569 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3a, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.571 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3b, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.573 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3b, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.575 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3c, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.577 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3c, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.579 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3d, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.581 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3d, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.583 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3e, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.585 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3e, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
     0.587 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3f, oact: 0x7fde83092db0, sigsetsize: 8           ) = 0
     0.589 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3f, act: 0x7fde83092d10, sigsetsize: 8            ) = 0
