execve("./fileOverhead", ["./fileOverhead", "clone", "100"], [/* 4 vars */])                                            = 0 <0.001691>
stat("files//file51.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000014>
unlink("files//file51.txt")                                                                                             = 0 <0.000021>
stat("files//file11.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000009>
unlink("files//file11.txt")                                                                                             = 0 <0.000017>
stat("files//file84.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000014>
unlink("files//file84.txt")                                                                                             = 0 <0.000019>
stat("files//file72.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000009>
unlink("files//file72.txt")                                                                                             = 0 <0.000018>
stat("files//file91.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000010>
unlink("files//file91.txt")                                                                                             = 0 <0.000020>
stat("files//file40.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000009>
unlink("files//file40.txt")                                                                                             = 0 <0.000027>
stat("files//file47.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000012>
unlink("files//file47.txt")                                                                                             = 0 <0.000021>
stat("files//file39.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000043>
unlink("files//file39.txt")                                                                                             = 0 <0.000023>
stat("files//file32.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000044>
unlink("files//file32.txt")                                                                                             = 0 <0.000112>
stat("files//file49.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000014>
unlink("files//file49.txt")                                                                                             = 0 <0.000520>
stat("files//file0.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                        = 0 <0.000019>
unlink("files//file0.txt")                                                                                              = 0 <0.000028>
stat("files//file53.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000014>
unlink("files//file53.txt")                                                                                             = 0 <0.000025>
stat("files//file16.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000011>
unlink("files//file16.txt")                                                                                             = 0 <0.000021>
stat("files//file92.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000011>
unlink("files//file92.txt")                                                                                             = 0 <0.000022>
stat("files//file42.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000010>
unlink("files//file42.txt")                                                                                             = 0 <0.000024>
stat("files//file44.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000017>
unlink("files//file44.txt")                                                                                             = 0 <0.000030>
stat("files//file97.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000012>
unlink("files//file97.txt")                                                                                             = 0 <0.000029>
stat("files//file50.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000013>
unlink("files//file50.txt")                                                                                             = 0 <0.000028>
stat("files//file61.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000018>
unlink("files//file61.txt")                                                                                             = 0 <0.000028>
stat("files//file21.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000012>
unlink("files//file21.txt")                                                                                             = 0 <0.000022>
stat("files//file85.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000015>
unlink("files//file85.txt")                                                                                             = 0 <0.000025>
stat("files//file20.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000010>
unlink("files//file20.txt")                                                                                             = 0 <0.000038>
stat("files//file1.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                        = 0 <0.000013>
unlink("files//file1.txt")                                                                                              = 0 <0.000025>
stat("files//file83.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000011>
unlink("files//file83.txt")                                                                                             = 0 <0.000022>
stat("files//file25.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000010>
unlink("files//file25.txt")                                                                                             = 0 <0.000027>
stat("files//file98.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000011>
unlink("files//file98.txt")                                                                                             = 0 <0.000032>
stat("files//file3.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                        = 0 <0.000012>
unlink("files//file3.txt")                                                                                              = 0 <0.000021>
stat("files//file24.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000015>
unlink("files//file24.txt")                                                                                             = 0 <0.000054>
stat("files//file48.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000015>
unlink("files//file48.txt")                                                                                             = 0 <0.000028>
stat("files//file63.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000011>
unlink("files//file63.txt")                                                                                             = 0 <0.000043>
stat("files//file9.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                        = 0 <0.000025>
unlink("files//file9.txt")                                                                                              = 0 <0.000021>
stat("files//file12.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000013>
unlink("files//file12.txt")                                                                                             = 0 <0.000031>
stat("files//file43.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000027>
unlink("files//file43.txt")                                                                                             = 0 <0.000044>
stat("files//file33.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000009>
unlink("files//file33.txt")                                                                                             = 0 <0.000015>
stat("files//file34.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000061>
unlink("files//file34.txt")                                                                                             = 0 <0.000044>
stat("files//file41.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000028>
unlink("files//file41.txt")                                                                                             = 0 <0.000037>
stat("files//file74.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000031>
unlink("files//file74.txt")                                                                                             = 0 <0.000033>
stat("files//file18.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000009>
unlink("files//file18.txt")                                                                                             = 0 <0.000047>
stat("files//file27.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000040>
unlink("files//file27.txt")                                                                                             = 0 <0.000021>
stat("files//file70.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000010>
unlink("files//file70.txt")                                                                                             = 0 <0.000346>
stat("files//file96.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000041>
unlink("files//file96.txt")                                                                                             = 0 <0.000044>
stat("files//file26.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000017>
unlink("files//file26.txt")                                                                                             = 0 <0.000039>
stat("files//file38.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000023>
unlink("files//file38.txt")                                                                                             = 0 <0.000060>
stat("files//file77.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000079>
unlink("files//file77.txt")                                                                                             = 0 <0.000584>
stat("files//file6.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                        = 0 <0.000015>
unlink("files//file6.txt")                                                                                              = 0 <0.000050>
stat("files//file79.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000013>
unlink("files//file79.txt")                                                                                             = 0 <0.000022>
stat("files//file36.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000337>
unlink("files//file36.txt")                                                                                             = 0 <0.000060>
stat("files//file46.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000019>
unlink("files//file46.txt")                                                                                             = 0 <0.000040>
stat("files//file13.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000056>
unlink("files//file13.txt")                                                                                             = 0 <0.000056>
stat("files//file81.txt", {st_mode=S_IFREG|0644, st_size=0, ...})                                                       = 0 <0.000032>
unlink("files//file81.txt")                                                                                             = 0 <0.000028>
